year,manufacturer,fuelType,name,transmission,engine,mileage,listingPrice,variant,age
1995.0,Honda,Petrol,Honda Civic 1995 for sale in Karachi,Manual,1500cc,"15,000 km",900000.0,Civic,30.0
2016.0,Honda,Petrol,Honda Civic 2016 for sale in Karachi,Automatic,1500cc,"51,000 km",5100000.0,Civic,9.0
2008.0,Suzuki,Petrol,Suzuki Alto 2008 for sale in Karachi,Manual,1000cc,"115,000 km",875000.0,Alto,17.0
2021.0,Suzuki,Petrol,Suzuki Alto 2021 for sale in Karachi,Manual,660cc,"15,630 km",2350000.0,Alto,4.0
2017.0,Suzuki,Petrol,Suzuki Cultus 2017 for sale in Karachi,Manual,1000cc,"84,000 km",2245000.0,Cultus,8.0
2020.0,Toyota,Petrol,Toyota Raize 2020 for sale in Karachi,Automatic,1000cc,"47,000 km",5700000.0,Raize,5.0
1998.0,Daihatsu,Petrol,Daihatsu Storia 1998 for sale in Karachi,Automatic,1000cc,"175,000 km",795000.0,Storia,27.0
2024.0,MG,Petrol,MG HS 2024 for sale in Karachi,Automatic,1500cc,"16,000 km",7300000.0,HS,1.0
2010.0,Toyota,Petrol,Toyota Passo 2010 for sale in Karachi,Automatic,1000cc,"112,000 km",2080000.0,Passo,15.0
2022.0,Toyota,Petrol,Toyota Corolla 2022 for sale in Karachi,Manual,1600cc,"40,000 km",5400000.0,Corolla,3.0
2019.0,Toyota,Petrol,Toyota Hiace 2019 for sale in Karachi,Automatic,2700cc,"148,000 km",7200000.0,Hiace,6.0
2015.0,Honda,Petrol,Honda City 2015 for sale in Karachi,Manual,1300cc,"97,000 km",2650000.0,City,10.0
2013.0,Daihatsu,Petrol,Daihatsu Mira 2013 for sale in Karachi,Automatic,660cc,"89,000 km",2200000.0,Mira,12.0
2021.0,Toyota,Diesel,Toyota Fortuner 2021 for sale in Karachi,Automatic,2800cc,"18,200 km",15400000.0,Fortuner,4.0
2014.0,Honda,Petrol,Honda City 2014 for sale in Karachi,Manual,1300cc,"147,000 km",2750000.0,City,11.0
2008.0,Suzuki,Petrol,Suzuki Alto 2008 for sale in Karachi,Manual,1000cc,"92,371 km",975000.0,Alto,17.0
1986.0,Daihatsu,Petrol,Daihatsu Charade 1986 for sale in Karachi,Manual,1000cc,"200,000 km",410000.0,Charade,39.0
1982.0,Suzuki,Petrol,Suzuki FX 1982 for sale in Karachi,Manual,800cc,"20,000 km",220000.0,FX,43.0
2022.0,Honda,Petrol,Honda N Wgn 2022 for sale in Karachi,Automatic,660cc,"19,813 km",3950000.0,N Wgn,3.0
2021.0,Suzuki,Petrol,Suzuki Alto 2021 for sale in Karachi,Automatic,660cc,1 km,3850000.0,Alto,4.0
2014.0,Toyota,Hybrid,Toyota Camry 2014 for sale in Karachi,Automatic,2500cc,"135,000 km",8250000.0,Camry,11.0
2020.0,Daihatsu,Petrol,Daihatsu Rocky 2020 for sale in Karachi,Automatic,1000cc,"18,000 km",5985000.0,Rocky,5.0
2022.0,Suzuki,Hybrid,Suzuki Wagon R 2022 for sale in Karachi,Automatic,660cc,"13,408 km",3950000.0,Wagon R,3.0
